Data,Gerdau preferenciais,Gerdau Metalúrgica preferenciais,Vale,Usiminas,CSN,ArcelorMittal Brasil
8/5/2016,6.936491966,4.679571152,13.28408337,3.280077457,8.568161011,
8/8/2016,6.59654808,4.493934631,13.2910862,3.127120495,8.350459099,
8/9/2016,6.750332832,4.617691517,13.29808998,3.229091644,8.505959511,
8/10/2016,6.960773468,4.702775478,12.66784859,3.118623018,8.16385746,
8/11/2016,7.32500124,5.012168407,12.89193535,3.212096453,8.537062645,
8/12/2016,7.333094597,4.934820175,12.57681179,3.161111116,8.381559372,
8/15/2016,7.859201431,5.321561337,12.90594006,3.348058701,8.669237137,
8/16/2016,7.762074471,5.282888412,13.2910862,3.288575172,8.187180519,
8/17/2016,8.02917099,5.41437912,13.38912487,3.322565794,8.039453506,
8/18/2016,8.369117737,5.677363396,13.24907017,3.297072649,7.915053844,
8/19/2016,8.320554733,5.646425247,13.36111546,3.263082027,7.845078945,
8/22/2016,7.826822758,5.329295635,12.87092495,3.067636967,7.191968441,
8/23/2016,7.891777039,5.375907421,13.13002491,3.169608593,7.300819874,
8/24/2016,7.396510124,5.003013134,12.70986366,2.914680243,6.787663937,
8/25/2016,7.412748337,5.018550396,12.73087215,2.855196953,6.865414619,
8/26/2016,7.469583035,5.065163136,12.4017458,3.042144537,6.842089176,
8/29/2016,7.550773144,5.127311707,12.67485237,2.914680243,7.036466599,
8/30/2016,7.469583035,5.049624443,12.35972977,2.872192144,6.818763256,
8/31/2016,7.372152805,5.010781288,11.8625412,2.948670626,6.686587334,
9/1/2016,7.266605854,4.925326347,12.21267414,2.923177958,6.842089176,
9/2/2016,7.688797951,5.166154385,12.77288723,3.220594168,7.541849613,
9/5/2016,7.826823711,5.267148495,12.53479767,3.271579504,7.549623013,
9/6/2016,7.802465439,5.290452957,12.79389668,3.314068079,7.36301899,
9/8/2016,7.932373524,5.484670162,12.45776844,3.433034182,7.191968441,
9/9/2016,7.526419163,5.321527481,11.80651951,3.271579504,6.725462914,
9/12/2016,7.696918488,5.360371113,12.24768829,3.305570602,6.834313869,
9/13/2016,7.023033142,4.8942523,11.39335918,3.050642014,6.328932762,
9/14/2016,7.096103668,5.018550396,11.65245914,3.033646584,6.422234535,
9/15/2016,7.071746826,5.003013134,11.65245914,3.01665163,6.430009365,
9/16/2016,6.811934948,4.762184143,11.49139881,2.906182528,6.227856636,
9/19/2016,6.836292267,4.824335098,11.66646481,2.863694429,6.608835697,
9/20/2016,6.738863468,4.715572357,11.69447613,2.889187813,6.60106039,
9/21/2016,7.120460987,4.964169502,12.35972977,3.101627827,6.888739586,
9/22/2016,7.063626766,4.8942523,12.28970432,3.067636967,6.919839382,
9/23/2016,7.055508614,4.933094501,12.35972977,3.033646584,6.772112846,
9/26/2016,7.047389507,4.8942523,12.21267414,2.999656439,6.741012573,
9/27/2016,7.006793022,4.847640991,12.32471752,2.914680243,6.69436121,
9/28/2016,7.339677334,5.049624443,12.73787498,3.101627827,7.230844021,
9/29/2016,7.323438168,5.049624443,12.59782219,3.101627827,7.044241905,
9/30/2016,7.193533897,5.088467598,12.47177219,2.999656439,7.067566395,
10/3/2016,7.307201385,5.127311707,12.67485237,3.033646584,7.394122124,
10/4/2016,7.185415745,5.003013134,12.35972977,3.042144537,7.324145317,
10/5/2016,7.372152805,5.119543076,12.5067873,3.161111116,7.510746956,
