,Data,Cotacoes,Ref
60,2005-01-31,9.659540176391602,1-2005
61,2005-02-28,11.037731170654297,2-2005
62,2005-03-31,10.366929054260254,3-2005
63,2005-04-29,8.354525566101074,4-2005
64,2005-05-31,8.5313720703125,5-2005
65,2005-06-30,8.452096939086914,6-2005
66,2005-07-29,9.572943687438965,7-2005
67,2005-08-31,9.891270637512207,8-2005
68,2005-09-30,12.074423789978027,9-2005
69,2005-10-31,11.363373756408691,10-2005
70,2005-11-30,11.671945571899414,11-2005
71,2005-12-29,11.64754867553711,12-2005
72,2006-01-31,13.805091857910156,1-2006
73,2006-02-28,12.672046661376953,2-2006
74,2006-03-31,12.879384994506836,3-2006
75,2006-04-28,13.052572250366211,4-2006
76,2006-05-31,12.854992866516113,5-2006
77,2006-06-30,12.752544403076172,6-2006
78,2006-07-31,12.330549240112305,7-2006
79,2006-08-31,11.22067642211914,8-2006
80,2006-09-29,11.428014755249023,9-2006
81,2006-10-31,13.208686828613281,10-2006
82,2006-11-30,14.567367553710938,11-2006
83,2006-12-28,15.538196563720703,12-2006
84,2007-01-31,17.3432674407959,1-2007
85,2007-02-28,17.68720245361328,2-2007
86,2007-03-30,18.6116886138916,3-2007
87,2007-04-30,20.48993682861328,4-2007
88,2007-05-31,21.226594924926758,5-2007
89,2007-06-29,21.021697998046875,6-2007
90,2007-07-31,22.63649559020996,7-2007
91,2007-08-31,23.65612030029297,8-2007
92,2007-09-28,30.222644805908203,9-2007
93,2007-10-31,31.710617065429688,10-2007
94,2007-11-30,30.588537216186523,11-2007
95,2007-12-28,28.934715270996094,12-2007
96,2008-01-31,25.28555679321289,1-2008
97,2008-02-29,28.617612838745117,2-2008
98,2008-03-31,29.5152645111084,3-2008
99,2008-04-30,32.25288391113281,4-2008
100,2008-05-30,32.18900680541992,5-2008
101,2008-06-30,28.204078674316406,6-2008
102,2008-07-31,23.260988235473633,7-2008
103,2008-08-29,21.35943031311035,8-2008
104,2008-09-30,17.959217071533203,9-2008
105,2008-10-31,14.027438163757324,10-2008
106,2008-11-28,13.602518081665039,11-2008
107,2008-12-30,13.681570053100586,12-2008
108,2009-01-30,16.058183670043945,1-2009
109,2009-02-27,15.252801895141602,2-2009
110,2009-03-31,15.317031860351562,3-2009
111,2009-04-30,18.09148597717285,4-2009
112,2009-05-29,19.064250946044922,5-2009
113,2009-06-30,17.299230575561523,6-2009
114,2009-07-31,18.57787322998047,7-2009
115,2009-08-31,18.392345428466797,8-2009
116,2009-09-30,20.653779983520508,9-2009
117,2009-10-30,22.707937240600586,10-2009
118,2009-11-30,24.846940994262695,11-2009
119,2009-12-30,25.17133903503418,12-2009
120,2010-01-29,24.791187286376953,1-2010
121,2010-02-26,25.57176971435547,2-2010
122,2010-03-31,28.96782684326172,3-2010
123,2010-04-30,27.10595703125,4-2010
124,2010-05-31,25.523494720458984,5-2010
125,2010-06-30,22.282011032104492,6-2010
126,2010-07-30,24.783313751220703,7-2010
127,2010-08-31,23.930828094482422,8-2010
128,2010-09-30,26.69758415222168,9-2010
129,2010-10-29,27.60352897644043,10-2010
130,2010-11-30,27.582923889160156,11-2010
131,2010-12-30,28.494462966918945,12-2010
132,2011-01-31,29.553449630737305,1-2011
133,2011-02-28,29.149593353271484,2-2011
134,2011-03-31,27.622215270996094,3-2011
135,2011-04-29,27.1365909576416,4-2011
136,2011-05-31,26.329669952392578,5-2011
137,2011-06-30,25.931447982788086,6-2011
138,2011-07-29,26.266794204711914,7-2011
139,2011-08-31,23.986343383789062,8-2011
140,2011-09-30,22.83521842956543,9-2011
141,2011-10-31,23.744909286499023,10-2011
142,2011-11-30,22.6258487701416,11-2011
143,2011-12-29,21.43071746826172,12-2011
144,2012-01-31,24.282718658447266,1-2012
145,2012-02-29,23.657991409301758,2-2012
146,2012-03-30,23.304889678955078,3-2012
147,2012-04-30,23.724346160888672,4-2012
148,2012-05-31,20.93423080444336,5-2012
149,2012-06-29,22.348779678344727,6-2012
150,2012-07-31,20.689189910888672,7-2012
151,2012-08-31,18.812400817871094,8-2012
152,2012-09-28,20.32162857055664,9-2012
153,2012-10-31,21.52646827697754,10-2012
154,2012-11-30,21.612688064575195,11-2012
155,2012-12-28,24.302776336669922,12-2012
156,2013-01-31,23.14167594909668,1-2013
157,2013-02-28,21.727649688720703,2-2013
158,2013-03-28,20.19291877746582,3-2013
159,2013-04-30,20.236753463745117,4-2013
160,2013-05-31,17.97052001953125,5-2013
161,2013-06-28,17.061670303344727,6-2013
162,2013-07-31,18.306917190551758,7-2013
163,2013-08-30,20.26626205444336,8-2013
164,2013-09-30,20.33708381652832,9-2013
165,2013-10-31,21.168861389160156,10-2013
166,2013-11-29,21.239919662475586,11-2013
167,2013-12-30,21.145174026489258,12-2013
168,2014-01-31,19.570093154907227,1-2014
169,2014-02-28,19.54048728942871,2-2014
170,2014-03-31,18.60491180419922,3-2014
171,2014-04-30,17.991283416748047,4-2014
172,2014-05-30,17.32764434814453,5-2014
173,2014-06-30,17.802539825439453,6-2014
174,2014-07-31,19.817808151245117,7-2014
175,2014-08-29,17.778188705444336,8-2014
176,2014-09-30,16.347410202026367,9-2014
177,2014-10-31,15.792577743530273,10-2014
178,2014-11-28,14.712367057800293,11-2014
179,2014-12-30,13.840616226196289,12-2014
180,2015-01-30,11.75599479675293,1-2015
181,2015-02-27,13.423690795898438,2-2015
182,2015-03-31,11.332752227783203,3-2015
183,2015-04-30,14.78250503540039,4-2015
184,2015-05-29,13.085617065429688,5-2015
185,2015-06-30,11.936954498291016,6-2015
186,2015-07-31,11.662840843200684,7-2015
187,2015-08-31,11.695473670959473,8-2015
188,2015-09-30,10.820923805236816,9-2015
189,2015-10-30,11.35788631439209,10-2015
190,2015-11-30,8.76807689666748,11-2015
191,2015-12-30,8.674867630004883,12-2015
192,2016-01-29,6.471199035644531,1-2016
193,2016-02-29,7.862639904022217,2-2016
194,2016-03-31,10.086282730102539,3-2016
195,2016-04-29,13.108839988708496,4-2016
196,2016-05-31,9.46712589263916,5-2016
197,2016-06-30,10.83193588256836,6-2016
198,2016-07-29,12.316583633422852,7-2016
199,2016-08-31,11.277995109558105,8-2016
200,2016-09-30,11.857210159301758,9-2016
201,2016-10-31,14.7000093460083,10-2016
202,2016-11-30,18.68126106262207,11-2016
203,2016-12-29,17.19719886779785,12-2016
204,2017-01-31,21.550073623657227,1-2017
205,2017-02-24,21.91169548034668,2-2017
206,2017-03-31,19.949552536010742,3-2017
207,2017-04-28,19.00962257385254,4-2017
208,2017-05-31,18.802017211914062,5-2017
209,2017-06-30,20.068403244018555,6-2017
210,2017-07-31,21.660036087036133,7-2017
211,2017-08-31,24.275848388671875,8-2017
212,2017-09-29,22.05448341369629,9-2017
213,2017-10-31,22.21364402770996,10-2017
214,2017-11-30,24.31736946105957,11-2017
215,2017-12-29,28.1580867767334,12-2017
216,2018-01-31,28.990379333496094,1-2018
217,2018-02-28,31.508241653442383,2-2018
218,2018-03-29,29.85730743408203,3-2018
219,2018-04-30,34.42679977416992,4-2018
220,2018-05-30,35.813209533691406,5-2018
221,2018-06-29,35.07756423950195,6-2018
222,2018-07-31,38.791160583496094,7-2018
223,2018-08-31,39.02141189575195,8-2018
224,2018-09-28,43.53339767456055,9-2018
225,2018-10-31,41.27012252807617,10-2018
226,2018-11-30,38.42466735839844,11-2018
227,2018-12-28,37.11473083496094,12-2018
228,2019-01-31,33.112159729003906,1-2019
229,2019-02-28,34.27654266357422,2-2019
230,2019-03-29,37.06379318237305,3-2019
231,2019-04-30,36.45977020263672,4-2019
232,2019-05-31,35.65925216674805,5-2019
233,2019-06-28,37.71147918701172,6-2019
234,2019-07-31,36.24872589111328,7-2019
235,2019-08-30,33.163108825683594,8-2019
236,2019-09-30,34.749576568603516,9-2019
237,2019-10-31,34.34932327270508,10-2019
238,2019-11-29,36.3724365234375,11-2019
239,2019-12-30,39.81636428833008,12-2019
240,2020-01-31,37.552879333496094,1-2020
241,2020-02-28,33.100624084472656,2-2020
242,2020-03-31,32.2863655090332,3-2020
243,2020-04-30,33.51148223876953,4-2020
244,2020-05-29,39.59225845336914,5-2020
245,2020-06-30,41.77356719970703,6-2020
246,2020-07-31,45.351810455322266,7-2020
247,2020-08-31,44.582374572753906,8-2020
248,2020-09-30,46.0024299621582,9-2020
249,2020-10-30,47.12310791015625,10-2020
250,2020-11-30,60.70359802246094,11-2020
251,2020-12-30,68.05806732177734,12-2020
252,2021-01-29,68.44718933105469,1-2021
253,2021-02-26,73.560302734375,2-2021
254,2021-03-31,79.68010711669922,3-2021
255,2021-04-30,88.66719818115234,4-2021
256,2021-05-31,93.35187530517578,5-2021
257,2021-06-30,93.92645263671875,6-2021
258,2021-07-30,90.20257568359375,7-2021
259,2021-08-31,81.84249114990234,8-2021
260,2021-09-30,69.79966735839844,9-2021
261,2021-10-29,65.56078338623047,10-2021
262,2021-11-30,64.04100799560547,11-2021
263,2021-12-30,71.37437438964844,12-2021
264,2022-01-31,74.0385513305664,1-2022
265,2022-02-25,84.48469543457031,2-2022
266,2022-03-31,90.88916015625,3-2022
267,2022-04-29,79.18576049804688,4-2022
268,2022-05-31,81.96186828613281,5-2022
269,2022-06-30,72.78738403320312,6-2022
270,2022-07-29,66.3129653930664,7-2022
