,Data
686,2015-10-07
687,2015-10-08
688,2015-10-09
689,2015-10-13
690,2015-10-14
691,2015-10-15
692,2015-10-16
693,2015-10-19
694,2015-10-20
695,2015-10-21
696,2015-10-22
697,2015-10-23
698,2015-10-26
699,2015-10-27
700,2015-10-28
701,2015-10-29
702,2015-10-30
703,2015-11-03
704,2015-11-04
705,2015-11-05
706,2015-11-06
707,2015-11-09
708,2015-11-10
709,2015-11-11
710,2015-11-12
711,2015-11-13
712,2015-11-16
713,2015-11-17
714,2015-11-18
715,2015-11-19
716,2015-11-23
717,2015-11-24
718,2015-11-25
719,2015-11-26
720,2015-11-27
721,2015-11-30
722,2015-12-01
723,2015-12-02
724,2015-12-03
725,2015-12-04
726,2015-12-07
727,2015-12-08
728,2015-12-09
729,2015-12-10
730,2015-12-11
731,2015-12-14
732,2015-12-15
733,2015-12-16
734,2015-12-17
735,2015-12-18
736,2015-12-21
737,2015-12-22
738,2015-12-23
739,2015-12-28
740,2015-12-29
741,2015-12-30
742,2016-01-04
743,2016-01-05
744,2016-01-06
745,2016-01-07
746,2016-01-08
747,2016-01-11
748,2016-01-12
749,2016-01-13
750,2016-01-14
751,2016-01-15
752,2016-01-18
753,2016-01-19
754,2016-01-20
755,2016-01-21
756,2016-01-22
757,2016-01-26
758,2016-01-27
759,2016-01-28
760,2016-01-29
761,2016-02-01
762,2016-02-02
763,2016-02-03
764,2016-02-04
765,2016-02-05
766,2016-02-10
767,2016-02-11
768,2016-02-12
769,2016-02-15
770,2016-02-16
771,2016-02-17
772,2016-02-18
773,2016-02-19
774,2016-02-22
775,2016-02-23
776,2016-02-24
777,2016-02-25
778,2016-02-26
779,2016-02-29
780,2016-03-01
781,2016-03-02
782,2016-03-03
783,2016-03-04
784,2016-03-07
785,2016-03-08
786,2016-03-09
787,2016-03-10
788,2016-03-11
789,2016-03-14
790,2016-03-15
791,2016-03-16
792,2016-03-17
793,2016-03-18
794,2016-03-21
795,2016-03-22
796,2016-03-23
797,2016-03-24
798,2016-03-28
799,2016-03-29
800,2016-03-30
801,2016-03-31
802,2016-04-01
803,2016-04-04
804,2016-04-05
805,2016-04-06
806,2016-04-07
807,2016-04-08
808,2016-04-11
809,2016-04-12
810,2016-04-13
811,2016-04-14
812,2016-04-15
813,2016-04-18
814,2016-04-19
815,2016-04-20
816,2016-04-22
817,2016-04-25
818,2016-04-26
819,2016-04-27
820,2016-04-28
821,2016-04-29
822,2016-05-02
823,2016-05-03
824,2016-05-04
825,2016-05-05
826,2016-05-06
827,2016-05-09
828,2016-05-10
829,2016-05-11
830,2016-05-12
831,2016-05-13
832,2016-05-16
833,2016-05-17
834,2016-05-18
835,2016-05-19
836,2016-05-20
837,2016-05-23
838,2016-05-24
839,2016-05-25
840,2016-05-27
841,2016-05-30
842,2016-05-31
843,2016-06-01
844,2016-06-02
845,2016-06-03
846,2016-06-06
847,2016-06-07
848,2016-06-08
849,2016-06-09
850,2016-06-10
851,2016-06-13
852,2016-06-14
853,2016-06-15
854,2016-06-16
855,2016-06-17
856,2016-06-20
857,2016-06-21
858,2016-06-22
859,2016-06-23
860,2016-06-24
861,2016-06-27
862,2016-06-28
863,2016-06-29
864,2016-06-30
865,2016-07-01
866,2016-07-04
867,2016-07-05
868,2016-07-06
869,2016-07-07
870,2016-07-08
871,2016-07-11
872,2016-07-12
873,2016-07-13
874,2016-07-14
875,2016-07-15
876,2016-07-18
877,2016-07-19
878,2016-07-20
879,2016-07-21
880,2016-07-22
881,2016-07-25
882,2016-07-26
883,2016-07-27
884,2016-07-28
885,2016-07-29
886,2016-08-01
887,2016-08-02
888,2016-08-03
889,2016-08-04
890,2016-08-05
891,2016-08-08
892,2016-08-09
893,2016-08-10
894,2016-08-11
895,2016-08-12
896,2016-08-15
897,2016-08-16
898,2016-08-17
899,2016-08-18
900,2016-08-19
901,2016-08-22
902,2016-08-23
903,2016-08-24
904,2016-08-25
905,2016-08-26
906,2016-08-29
907,2016-08-30
908,2016-08-31
909,2016-09-01
910,2016-09-02
911,2016-09-05
912,2016-09-06
913,2016-09-08
914,2016-09-09
915,2016-09-12
916,2016-09-13
917,2016-09-14
918,2016-09-15
919,2016-09-16
920,2016-09-19
921,2016-09-20
922,2016-09-21
923,2016-09-22
924,2016-09-23
925,2016-09-26
926,2016-09-27
927,2016-09-28
928,2016-09-29
929,2016-09-30
930,2016-10-03
931,2016-10-04
932,2016-10-05
933,2016-10-06
934,2016-10-07
935,2016-10-10
936,2016-10-11
937,2016-10-13
938,2016-10-14
939,2016-10-17
940,2016-10-18
941,2016-10-19
942,2016-10-20
943,2016-10-21
944,2016-10-24
945,2016-10-25
946,2016-10-26
947,2016-10-27
948,2016-10-28
949,2016-10-31
950,2016-11-01
951,2016-11-03
952,2016-11-04
953,2016-11-07
954,2016-11-08
955,2016-11-09
956,2016-11-10
957,2016-11-11
958,2016-11-14
959,2016-11-16
960,2016-11-17
961,2016-11-18
962,2016-11-21
963,2016-11-22
964,2016-11-23
965,2016-11-24
966,2016-11-25
967,2016-11-28
968,2016-11-29
969,2016-11-30
970,2016-12-01
971,2016-12-02
972,2016-12-05
973,2016-12-06
974,2016-12-07
975,2016-12-08
976,2016-12-09
977,2016-12-12
978,2016-12-13
979,2016-12-14
980,2016-12-15
981,2016-12-16
982,2016-12-19
983,2016-12-20
984,2016-12-21
985,2016-12-22
986,2016-12-23
987,2016-12-26
988,2016-12-27
989,2016-12-28
990,2016-12-29
991,2017-01-02
992,2017-01-03
993,2017-01-04
994,2017-01-05
995,2017-01-06
996,2017-01-09
997,2017-01-10
998,2017-01-11
999,2017-01-12
1000,2017-01-13
1001,2017-01-16
1002,2017-01-17
1003,2017-01-18
1004,2017-01-19
1005,2017-01-20
1006,2017-01-23
1007,2017-01-24
1008,2017-01-26
1009,2017-01-27
1010,2017-01-30
1011,2017-01-31
1012,2017-02-01
1013,2017-02-02
1014,2017-02-03
1015,2017-02-06
1016,2017-02-07
1017,2017-02-08
1018,2017-02-09
1019,2017-02-10
1020,2017-02-13
1021,2017-02-14
1022,2017-02-15
1023,2017-02-16
1024,2017-02-17
1025,2017-02-20
1026,2017-02-21
1027,2017-02-22
1028,2017-02-23
1029,2017-02-24
1030,2017-03-01
1031,2017-03-02
1032,2017-03-03
1033,2017-03-06
1034,2017-03-07
1035,2017-03-08
1036,2017-03-09
1037,2017-03-10
1038,2017-03-13
1039,2017-03-14
1040,2017-03-15
1041,2017-03-16
1042,2017-03-17
1043,2017-03-20
1044,2017-03-21
1045,2017-03-22
1046,2017-03-23
1047,2017-03-24
1048,2017-03-27
1049,2017-03-28
1050,2017-03-29
1051,2017-03-30
1052,2017-03-31
1053,2017-04-03
1054,2017-04-04
1055,2017-04-05
1056,2017-04-06
1057,2017-04-07
1058,2017-04-10
1059,2017-04-11
1060,2017-04-12
1061,2017-04-13
1062,2017-04-17
1063,2017-04-18
1064,2017-04-19
1065,2017-04-20
1066,2017-04-24
1067,2017-04-25
1068,2017-04-26
1069,2017-04-27
1070,2017-04-28
1071,2017-05-02
1072,2017-05-03
1073,2017-05-04
1074,2017-05-05
1075,2017-05-08
1076,2017-05-09
1077,2017-05-10
1078,2017-05-11
1079,2017-05-12
1080,2017-05-15
1081,2017-05-16
1082,2017-05-17
1083,2017-05-18
1084,2017-05-19
1085,2017-05-22
1086,2017-05-23
1087,2017-05-24
1088,2017-05-25
1089,2017-05-26
1090,2017-05-29
1091,2017-05-30
1092,2017-05-31
1093,2017-06-01
1094,2017-06-02
1095,2017-06-05
1096,2017-06-06
1097,2017-06-07
1098,2017-06-08
1099,2017-06-09
1100,2017-06-12
1101,2017-06-13
1102,2017-06-14
1103,2017-06-15
1104,2017-06-16
1105,2017-06-19
1106,2017-06-20
1107,2017-06-21
1108,2017-06-22
1109,2017-06-23
1110,2017-06-26
1111,2017-06-27
1112,2017-06-28
1113,2017-06-29
1114,2017-06-30
1115,2017-07-03
1116,2017-07-04
1117,2017-07-05
1118,2017-07-06
1119,2017-07-07
1120,2017-07-10
1121,2017-07-11
1122,2017-07-12
1123,2017-07-13
1124,2017-07-14
1125,2017-07-17
1126,2017-07-18
1127,2017-07-19
1128,2017-07-20
1129,2017-07-21
1130,2017-07-24
1131,2017-07-25
1132,2017-07-26
1133,2017-07-27
1134,2017-07-28
1135,2017-07-31
1136,2017-08-01
1137,2017-08-02
1138,2017-08-03
1139,2017-08-04
1140,2017-08-07
1141,2017-08-08
1142,2017-08-09
1143,2017-08-10
1144,2017-08-11
1145,2017-08-14
1146,2017-08-15
1147,2017-08-16
1148,2017-08-17
1149,2017-08-18
1150,2017-08-21
1151,2017-08-22
1152,2017-08-23
1153,2017-08-24
1154,2017-08-25
1155,2017-08-28
1156,2017-08-29
1157,2017-08-30
1158,2017-08-31
1159,2017-09-01
1160,2017-09-04
1161,2017-09-05
1162,2017-09-06
1163,2017-09-07
1164,2017-09-08
1165,2017-09-11
1166,2017-09-12
1167,2017-09-13
1168,2017-09-14
1169,2017-09-15
1170,2017-09-18
1171,2017-09-19
1172,2017-09-20
1173,2017-09-21
1174,2017-09-22
1175,2017-09-25
1176,2017-09-26
1177,2017-09-27
1178,2017-09-28
1179,2017-09-29
1180,2017-10-02
1181,2017-10-03
1182,2017-10-04
1183,2017-10-05
1184,2017-10-06
1185,2017-10-09
1186,2017-10-10
1187,2017-10-11
1188,2017-10-12
1189,2017-10-13
1190,2017-10-16
1191,2017-10-17
1192,2017-10-18
1193,2017-10-19
1194,2017-10-20
1195,2017-10-23
1196,2017-10-24
1197,2017-10-25
1198,2017-10-26
1199,2017-10-27
1200,2017-10-30
1201,2017-10-31
1202,2017-11-01
1203,2017-11-02
1204,2017-11-03
1205,2017-11-06
1206,2017-11-07
1207,2017-11-08
1208,2017-11-09
1209,2017-11-10
1210,2017-11-13
1211,2017-11-14
1212,2017-11-15
1213,2017-11-16
1214,2017-11-17
1215,2017-11-20
1216,2017-11-21
1217,2017-11-22
1218,2017-11-23
1219,2017-11-24
1220,2017-11-27
1221,2017-11-28
1222,2017-11-29
1223,2017-11-30
1224,2017-12-01
1225,2017-12-04
1226,2017-12-05
1227,2017-12-06
1228,2017-12-07
1229,2017-12-08
1230,2017-12-11
1231,2017-12-12
1232,2017-12-13
1233,2017-12-14
1234,2017-12-15
1235,2017-12-18
1236,2017-12-19
1237,2017-12-20
1238,2017-12-21
1239,2017-12-22
1240,2017-12-25
1241,2017-12-26
1242,2017-12-27
1243,2017-12-28
1244,2017-12-29
1245,2018-01-02
1246,2018-01-03
1247,2018-01-04
1248,2018-01-05
1249,2018-01-08
1250,2018-01-09
1251,2018-01-10
1252,2018-01-11
1253,2018-01-12
1254,2018-01-15
1255,2018-01-16
1256,2018-01-17
1257,2018-01-18
1258,2018-01-19
1259,2018-01-22
1260,2018-01-23
1261,2018-01-24
1262,2018-01-25
1263,2018-01-26
1264,2018-01-29
1265,2018-01-30
1266,2018-01-31
1267,2018-02-01
1268,2018-02-02
1269,2018-02-05
1270,2018-02-06
1271,2018-02-07
1272,2018-02-08
1273,2018-02-09
1274,2018-02-14
1275,2018-02-15
1276,2018-02-16
1277,2018-02-19
1278,2018-02-20
1279,2018-02-21
1280,2018-02-22
1281,2018-02-23
1282,2018-02-26
1283,2018-02-27
1284,2018-02-28
1285,2018-03-01
1286,2018-03-02
1287,2018-03-05
1288,2018-03-06
1289,2018-03-07
1290,2018-03-08
1291,2018-03-09
1292,2018-03-12
1293,2018-03-13
1294,2018-03-14
1295,2018-03-15
1296,2018-03-16
1297,2018-03-19
1298,2018-03-20
1299,2018-03-21
1300,2018-03-22
1301,2018-03-23
1302,2018-03-26
1303,2018-03-27
1304,2018-03-28
1305,2018-03-29
1306,2018-04-02
1307,2018-04-03
1308,2018-04-04
1309,2018-04-05
1310,2018-04-06
1311,2018-04-09
1312,2018-04-10
1313,2018-04-11
1314,2018-04-12
1315,2018-04-13
1316,2018-04-16
1317,2018-04-17
1318,2018-04-18
1319,2018-04-19
1320,2018-04-20
1321,2018-04-23
1322,2018-04-24
1323,2018-04-25
1324,2018-04-26
1325,2018-04-27
1326,2018-04-30
1327,2018-05-02
1328,2018-05-03
1329,2018-05-04
1330,2018-05-07
1331,2018-05-08
1332,2018-05-09
1333,2018-05-10
1334,2018-05-11
1335,2018-05-14
1336,2018-05-15
1337,2018-05-16
1338,2018-05-17
1339,2018-05-18
1340,2018-05-21
1341,2018-05-22
1342,2018-05-23
1343,2018-05-24
1344,2018-05-25
1345,2018-05-28
1346,2018-05-29
1347,2018-05-30
1348,2018-06-01
1349,2018-06-04
1350,2018-06-05
1351,2018-06-06
1352,2018-06-07
1353,2018-06-08
1354,2018-06-11
1355,2018-06-12
1356,2018-06-13
1357,2018-06-14
1358,2018-06-15
1359,2018-06-18
1360,2018-06-19
1361,2018-06-20
1362,2018-06-21
1363,2018-06-22
1364,2018-06-25
1365,2018-06-26
1366,2018-06-27
1367,2018-06-28
1368,2018-06-29
1369,2018-07-02
1370,2018-07-03
1371,2018-07-04
1372,2018-07-05
1373,2018-07-06
1374,2018-07-10
1375,2018-07-11
1376,2018-07-12
1377,2018-07-13
1378,2018-07-16
1379,2018-07-17
1380,2018-07-18
1381,2018-07-19
1382,2018-07-20
1383,2018-07-23
1384,2018-07-24
1385,2018-07-25
1386,2018-07-26
1387,2018-07-27
1388,2018-07-30
1389,2018-07-31
1390,2018-08-01
1391,2018-08-02
1392,2018-08-03
1393,2018-08-06
1394,2018-08-07
1395,2018-08-08
1396,2018-08-09
1397,2018-08-10
1398,2018-08-13
1399,2018-08-14
1400,2018-08-15
1401,2018-08-16
1402,2018-08-17
1403,2018-08-20
1404,2018-08-21
1405,2018-08-22
1406,2018-08-23
1407,2018-08-24
1408,2018-08-27
1409,2018-08-28
1410,2018-08-29
1411,2018-08-30
1412,2018-08-31
1413,2018-09-03
1414,2018-09-04
1415,2018-09-05
1416,2018-09-06
1417,2018-09-10
1418,2018-09-11
1419,2018-09-12
1420,2018-09-13
1421,2018-09-14
1422,2018-09-17
1423,2018-09-18
1424,2018-09-19
1425,2018-09-20
1426,2018-09-21
1427,2018-09-24
1428,2018-09-25
1429,2018-09-26
1430,2018-09-27
1431,2018-09-28
1432,2018-10-01
1433,2018-10-02
1434,2018-10-03
1435,2018-10-04
1436,2018-10-05
1437,2018-10-08
1438,2018-10-09
1439,2018-10-10
1440,2018-10-11
1441,2018-10-15
1442,2018-10-16
1443,2018-10-17
1444,2018-10-18
1445,2018-10-19
1446,2018-10-22
1447,2018-10-23
1448,2018-10-24
1449,2018-10-25
1450,2018-10-26
1451,2018-10-29
1452,2018-10-30
1453,2018-10-31
1454,2018-11-01
1455,2018-11-05
1456,2018-11-06
1457,2018-11-07
1458,2018-11-08
1459,2018-11-09
1460,2018-11-12
1461,2018-11-13
1462,2018-11-14
1463,2018-11-16
1464,2018-11-19
1465,2018-11-21
1466,2018-11-22
1467,2018-11-23
1468,2018-11-26
1469,2018-11-27
1470,2018-11-28
1471,2018-11-29
1472,2018-11-30
1473,2018-12-03
1474,2018-12-04
1475,2018-12-05
1476,2018-12-06
1477,2018-12-07
1478,2018-12-10
1479,2018-12-11
1480,2018-12-12
1481,2018-12-13
1482,2018-12-14
1483,2018-12-17
1484,2018-12-18
1485,2018-12-19
1486,2018-12-20
1487,2018-12-21
1488,2018-12-26
1489,2018-12-27
1490,2018-12-28
1491,2019-01-02
1492,2019-01-03
1493,2019-01-04
1494,2019-01-07
1495,2019-01-08
1496,2019-01-09
1497,2019-01-10
