,Data,Cotacoes,Ref
186,2015-07-31,3.382169008255005,7-2015
187,2015-08-31,2.721285343170166,8-2015
188,2015-09-30,3.047839641571045,9-2015
189,2015-10-30,3.374393939971924,10-2015
190,2015-11-30,4.276305675506592,11-2015
191,2015-12-30,3.1100404262542725,12-2015
192,2016-01-29,2.7601609230041504,1-2016
193,2016-02-29,4.043052673339844,2-2016
194,2016-03-31,5.543647289276123,3-2016
195,2016-04-29,10.216482162475586,4-2016
196,2016-05-31,5.084916591644287,5-2016
197,2016-06-30,6.080129146575928,6-2016
198,2016-07-29,8.607036590576172,7-2016
199,2016-08-31,6.686587810516357,8-2016
200,2016-09-30,7.067565441131592,9-2016
201,2016-10-31,8.350458145141602,10-2016
202,2016-11-30,9.664449691772461,11-2016
203,2016-12-29,8.43598461151123,12-2016
204,2017-01-31,8.980241775512695,1-2017
205,2017-02-24,9.31457233428955,2-2017
206,2017-03-31,7.0831170082092285,3-2017
207,2017-04-28,6.025703430175781,4-2017
208,2017-05-31,5.333719253540039,5-2017
209,2017-06-30,5.582522869110107,6-2017
210,2017-07-31,5.924626350402832,7-2017
211,2017-08-31,6.756562232971191,8-2017
212,2017-09-29,7.471872329711914,9-2017
213,2017-10-31,6.554410934448242,10-2017
214,2017-11-30,5.722474575042725,11-2017
215,2017-12-29,6.5155348777771,12-2017
216,2018-01-31,8.544837951660156,1-2018
217,2018-02-28,7.891727447509766,2-2018
218,2018-03-29,6.842089653015137,3-2018
219,2018-04-30,6.826539516448975,4-2018
220,2018-05-30,5.986828804016113,5-2018
221,2018-06-29,6.111230373382568,6-2018
222,2018-07-31,7.137542247772217,7-2018
223,2018-08-31,7.326504707336426,8-2018
224,2018-09-28,7.793798446655273,9-2018
225,2018-10-31,7.98572301864624,10-2018
226,2018-11-30,7.4016032218933105,11-2018
227,2018-12-28,7.376571178436279,12-2018
228,2019-01-31,8.511427879333496,1-2019
229,2019-02-28,10.914656639099121,2-2019
230,2019-03-29,13.55987548828125,3-2019
231,2019-04-30,12.689939498901367,4-2019
232,2019-05-31,15.14518928527832,5-2019
233,2019-06-28,15.300851821899414,6-2019
234,2019-07-31,15.136032104492188,7-2019
235,2019-08-30,13.149028778076172,8-2019
236,2019-09-30,12.369926452636719,9-2019
237,2019-10-31,11.032891273498535,10-2019
238,2019-11-29,11.743483543395996,11-2019
239,2019-12-30,13.192718505859375,12-2019
240,2020-01-31,12.061380386352539,1-2020
241,2020-02-28,10.45319652557373,2-2020
242,2020-03-31,6.526235580444336,3-2020
243,2020-04-30,8.377517700195312,4-2020
244,2020-05-29,9.669257164001465,5-2020
245,2020-06-30,10.00655746459961,6-2020
246,2020-07-31,11.477557182312012,7-2020
247,2020-08-31,14.250909805297852,8-2020
