,* Puxei aqui os dados apenas para as datas com intersecção,,,,,,
,Data,Vale,Gerdau Pref,Gerdau Met Pref,CSN,Usiminas,Selic
5-2007,5/31/2007,21.22659492,14.3513422,11.43618202,8.473325729,17.64092445,1.03
6-2007,6/29/2007,21.021698,16.29784203,12.79046726,8.532317162,18.13552856,0.91
7-2007,7/31/2007,22.63649559,15.63801384,12.38292694,9.294068336,19.07693291,0.97
8-2007,8/31/2007,23.6561203,15.94915199,12.4111433,9.518918037,19.26817322,0.99
9-2007,9/28/2007,30.22264481,16.03554153,12.56475735,11.01592255,21.10316086,0.8
10-2007,10/31/2007,31.71061707,18.00925636,13.91590691,11.84008789,22.4221077,0.93
11-2007,11/30/2007,30.58853722,16.99517441,12.79046726,11.66995144,22.47981453,0.84
12-2007,12/28/2007,28.93471527,17.38666916,13.32340431,13.47387886,20.26439476,0.84
1-2008,1/31/2008,25.28555679,17.38666916,11.81864834,14.10653687,20.51304054,0.93
2-2008,2/29/2008,28.61761284,17.48425674,14.57737637,16.18404198,24.36699867,0.8
3-2008,3/31/2008,29.51526451,17.48425674,14.15729618,16.04554367,24.61919403,0.84
4-2008,4/30/2008,32.25288391,17.48425674,16.75614548,19.09972191,30.45875359,0.9
5-2008,5/30/2008,32.18900681,17.62331772,20.81900597,20.8050499,33.58869171,0.88
6-2008,6/30/2008,28.20407867,17.62331772,19.56816864,18.75340652,29.64811897,0.96
7-2008,7/31/2008,23.26098824,23.26712227,17.24205589,16.08259201,25.89518929,1.07
8-2008,8/29/2008,21.35943031,19.48511314,15.96300507,14.8807869,21.78259277,1.02
9-2008,9/30/2008,17.95921707,19.48511314,11.37975216,10.73260117,15.42679119,1.1
10-2008,10/31/2008,14.02743816,19.48511314,7.461107731,7.561545849,10.6628046,1.18
11-2008,11/28/2008,13.60251808,19.60957336,7.735250473,6.818823814,8.899632454,1.02
12-2008,12/30/2008,13.68157005,10.41326427,7.67158699,7.637925625,10.40692997,1.12
1-2009,1/30/2009,16.05818367,11.61638927,7.576091766,9.265594482,11.32518864,1.05
2-2009,2/27/2009,15.2528019,11.61638927,6.360093594,8.256860733,10.17540455,0.86
3-2009,3/31/2009,15.31703186,11.6441164,6.552983761,9.337939262,11.25679016,0.97
4-2009,4/30/2009,18.09148598,11.6441164,7.914726257,10.93135929,12.73636913,0.84
5-2009,5/29/2009,19.06425095,14.284832,10.23544216,13.28209305,15.79549694,0.77
6-2009,6/30/2009,17.29923058,14.20859146,10.15232849,11.94566631,16.63925743,0.76
7-2009,7/31/2009,18.57787323,15.1997261,10.69575214,13.1615963,17.70694923,0.79
8-2009,8/31/2009,18.39234543,15.28983116,10.90032959,13.42449951,17.78952026,0.69
9-2009,9/30/2009,20.65377998,16.46118164,11.85930347,14.89237976,18.75730705,0.69
10-2009,10/30/2009,22.70793724,18.2285862,12.89499664,15.96590137,18.47219086,0.69
11-2009,11/30/2009,24.84694099,18.83306313,13.15236568,16.02066994,20.56034851,0.66
12-2009,12/30/2009,25.17133904,20.37580299,14.48789215,15.31874466,20.09776878,0.73
1-2010,1/29/2010,24.79118729,17.71870041,12.61222935,15.25495052,20.18322182,0.66
2-2010,2/26/2010,25.57176971,17.74666977,12.97442055,16.40600777,20.88312149,0.59
3-2010,3/31/2010,28.96782684,17.74666977,14.22918415,19.78705788,24.85718727,0.76
4-2010,4/30/2010,27.10595703,17.74666977,14.02867985,19.85917091,22.89456367,0.67
5-2010,5/31/2010,25.52349472,17.5649395,12.01913929,20.44677544,18.72858047,0.75
6-2010,6/30/2010,22.28201103,16.57427597,11.31021786,15.02095699,19.63032341,0.79
7-2010,7/30/2010,24.78331375,17.84597778,12.097188,16.70010567,20.18932343,0.86
8-2010,8/31/2010,23.93082809,16.50597,11.39037991,15.36363983,17.9655571,0.89
9-2010,9/30/2010,26.69758415,16.03961563,11.37072182,16.75151062,18.52456093,0.85
10-2010,10/29/2010,27.60352898,15.54500484,11.0758009,16.13467598,17.52395058,0.81
11-2010,11/30/2010,27.58292389,13.85636997,9.829949379,14.9124403,15.43560123,0.81
12-2010,12/30/2010,28.49446297,16.10891914,11.07107162,15.23228073,15.97594929,0.93
1-2011,1/31/2011,29.55344963,15.17095184,10.76078796,15.82055378,16.20108032,0.86
2-2011,2/28/2011,29.14959335,15.62572098,11.2559185,15.22085571,15.84253979,0.84
3-2011,3/31/2011,27.62221527,14.45036507,10.38797569,15.23799038,17.18864822,0.92
4-2011,4/29/2011,27.13659096,13.4670496,10.16272545,13.97005844,13.56114769,0.84
5-2011,5/31/2011,26.32966995,12.37893581,9.847950935,12.71511841,12.7214489,0.99
6-2011,6/30/2011,25.93144798,11.65664768,9.501942635,11.07091999,11.50388527,0.96
7-2011,7/29/2011,26.2667942,9.904578209,8.084637642,9.576721191,9.236697197,0.97
8-2011,8/31/2011,23.98634338,9.792662621,7.666772842,9.11519146,10.07639503,1.07
9-2011,9/30/2011,22.83521843,9.612651825,7.458834648,8.515205383,8.833640099,0.94
10-2011,10/31/2011,23.74490929,11.3047657,8.921087265,9.461338997,9.908454895,0.88
11-2011,11/30/2011,22.62584877,9.803271294,7.851319313,8.509437561,8.699288368,0.86
12-2011,12/29/2011,21.43071747,10.52944088,8.298417091,8.642126083,8.522948265,0.91
1-2012,1/31/2012,24.28271866,12.09069729,9.348420143,10.52862549,9.84127903,0.89
2-2012,2/29/2012,23.65799141,13.09465027,9.945116043,10.10171127,9.782500267,0.75
3-2012,3/30/2012,23.30488968,12.73719406,9.713514328,9.934406281,10.14940739,0.82
4-2012,4/30/2012,23.72434616,13.07275772,10.11540508,9.913299561,9.228270531,0.71
5-2012,5/31/2012,20.9342308,11.61192513,9.32503891,7.876070023,7.183177471,0.74
6-2012,6/29/2012,22.34877968,12.95908546,9.995511055,6.899899483,5.340904236,0.64
7-2012,7/31/2012,20.68918991,13.63266659,10.39916229,6.38452673,6.23668766,0.68
8-2012,8/31/2012,18.81240082,13.19695473,10.18335819,6.026799679,6.887399673,0.69
9-2012,9/28/2012,20.32162857,14.18268108,10.9608736,6.924151897,8.552206039,0.54
10-2012,10/31/2012,21.52646828,13.05718517,10.16271782,6.808949947,8.290231705,0.61
11-2012,11/30/2012,21.61268806,13.08561325,10.23866749,6.360275269,10.5634985,0.55
12-2012,12/28/2012,24.30277634,13.24069309,10.65346718,7.321013927,10.81701946,0.55
1-2013,1/31/2013,23.14167595,12.90099525,10.6189003,6.635825634,8.738124847,0.6
2-2013,2/28/2013,21.72764969,12.14775944,9.989785194,6.17286253,8.281781197,0.49
3-2013,3/28/2013,20.19291878,11.36466026,9.643921852,5.635822773,9.093056679,0.55
4-2013,4/30/2013,20.23675346,11.54951191,9.366999626,5.079045773,8.324035645,0.61
5-2013,5/31/2013,17.97052002,9.663493156,8.356131554,4.244310856,7.521209717,0.6
6-2013,6/28/2013,17.0616703,9.300649643,7.732021332,3.826942444,6.321196079,0.61
7-2013,7/31/2013,18.30691719,10.8038578,8.68205452,4.218626976,7.360643387,0.72
8-2013,8/30/2013,20.26626205,12.75702953,9.968089104,5.581767082,8.780377388,0.71
9-2013,9/30/2013,20.33708382,12.3479166,9.549847603,6.212178707,8.890237808,0.71
10-2013,10/31/2013,21.16886139,13.18846798,10.35147762,8.04431057,10.03954601,0.81
11-2013,11/29/2013,21.23991966,13.47792625,10.53940678,8.329971313,10.52124214,0.72
12-2013,12/30/2013,21.14517403,13.73251247,10.60264492,10.05751228,12.00858307,0.79
1-2014,1/31/2014,19.57009315,12.8414669,9.970280647,7.826394558,10.05644798,0.85
2-2014,2/28/2014,19.54048729,10.8122921,8.220738411,6.945139408,8.256429672,0.79
3-2014,3/31/2014,18.6049118,10.92549038,8.369569778,7.090332031,8.64516449,0.77
4-2014,4/30/2014,17.99128342,10.06770515,7.641473293,6.168013096,7.394447327,0.82
5-2014,5/30/2014,17.32764435,10.08201313,7.754441261,6.189629078,6.659228802,0.87
6-2014,6/30/2014,17.80253983,9.787038803,7.370275021,6.773285389,6.405704021,0.82
7-2014,7/31/2014,19.81780815,10.09714031,7.669068813,8.250436783,6.802892208,0.95
8-2014,8/29/2014,17.77818871,9.869854927,7.633142948,7.090332031,6.836695194,0.87
9-2014,9/30/2014,16.3474102,8.950493813,7.182451248,6.268891811,5.383158207,0.91
10-2014,10/31/2014,15.79257774,8.426230431,6.567220211,5.944638729,4.816953659,0.95
11-2014,11/28/2014,14.71236706,8.321154594,6.547317028,4.359401703,4.436668396,0.84
12-2014,12/30/2014,13.84061623,7.313454628,5.784662247,4.071177959,4.267652988,0.96
1-2015,1/30/2015,11.7559948,7.076796532,5.302608013,3.138778925,2.831016779,0.94
2-2015,2/27/2015,13.4236908,7.740961075,6.022092342,3.863687277,3.490179062,0.82
3-2015,3/31/2015,11.33275223,7.760963917,5.697194576,4.214104652,4.200046062,1.04
4-2015,4/30/2015,14.78250504,7.699489117,5.660907745,6.243405819,5.073073387,0.95
5-2015,5/29/2015,13.08561707,6.65816927,5.275838375,4.773911953,4.333780766,0.99
6-2015,6/30/2015,11.9369545,5.792065144,4.485558987,4.035277843,3.501015425,1.07
7-2015,7/31/2015,11.66284084,4.554774761,3.687964678,3.382169008,3.339560747,1.18
8-2015,8/31/2015,11.69547367,4.102325916,3.304349661,2.721285582,2.532287836,1.11
9-2015,9/30/2015,10.82092381,4.274233341,3.274713993,3.047839642,2.846698999,1.11
10-2015,10/30/2015,11.35788631,4.242976665,3.037630796,3.374394178,2.362335443,1.11
11-2015,11/30/2015,8.768076897,4.801054001,3.104098082,4.276306152,1.869474292,1.06
12-2015,12/30/2015,8.67486763,3.659819365,2.602954388,3.110040426,1.317129493,1.16
1-2016,1/29/2016,6.471199036,2.833408117,1.944735765,2.760161161,0.722296834,1.06
2-2016,2/29/2016,7.862639904,2.778314114,2.064411879,4.04305315,0.764784992,1
3-2016,3/31/2016,10.08628273,5.147357941,3.612721443,5.543647766,1.53806746,1.16
4-2016,4/29/2016,13.10883999,6.146919727,4.233540535,10.21648407,2.124402523,1.06
5-2016,5/31/2016,9.467125893,4.383912086,2.939543486,5.084916115,1.419101119,1.11
6-2016,6/30/2016,10.83193588,4.635769367,3.208814144,6.08012867,1.674029112,1.16
7-2016,7/29/2016,12.31658363,6.099698544,4.136304379,8.607036591,3.186603785,1.11
8-2016,8/31/2016,11.27799511,7.168723583,4.845540047,6.686587811,2.948670626,1.22
9-2016,9/30/2016,11.85721016,6.995031834,4.92066431,7.067566872,2.999656439,1.11
10-2016,10/31/2016,14.70000935,8.700369835,6.085096359,8.350458145,3.832422018,1.05
11-2016,11/30/2016,18.68126106,10.71364784,7.129618645,9.664451599,3.526508331,1.04
12-2016,12/29/2016,17.19719887,8.539290428,5.94762373,8.435987473,3.484019995,1.12
1-2017,1/31/2017,21.55007362,9.646237373,6.497213364,8.980242729,4.46124506,1.09
2-2017,2/24/2017,21.91169548,10.2392416,6.866117477,9.314572334,4.189321518,0.87
3-2017,3/31/2017,19.94955254,8.610451698,7.942712784,7.083116531,3.77293849,1.05
4-2017,4/28/2017,19.00962257,7.748617172,7.280192852,6.025703907,3.619982243,0.79
5-2017,5/31/2017,18.80201721,7.543039799,7.122090816,5.333720684,3.373551607,0.93
6-2017,6/30/2017,20.06840324,8.128137589,7.649095535,5.582522869,3.908900738,0.81
7-2017,7/31/2017,21.66003609,8.428596497,8.002943039,5.924627781,4.393265247,0.8
8-2017,8/31/2017,24.27584839,9.386487961,8.877274513,6.756562233,5.854853153,0.8
9-2017,9/29/2017,22.05448341,8.744878769,8.319143295,7.47187233,6.611140728,0.64
10-2017,10/31/2017,22.21364403,8.67359066,8.175842285,6.554409981,7.486394405,0.64
11-2017,11/30/2017,24.31736946,8.801641464,7.217170715,5.722474575,7.273953915,0.57
12-2017,12/29/2017,28.15808678,9.834322929,7.845076084,6.515534401,7.732826233,0.54
1-2018,1/31/2018,28.99037933,11.43895435,9.350546837,8.544836044,10.0781641,0.58
2-2018,2/28/2018,31.50824165,13.2024622,10.2432375,7.891726971,10.46905613,0.47
3-2018,3/29/2018,29.85730743,12.33570576,9.970667839,6.842089653,9.279391289,0.53
4-2018,4/30/2018,34.42679977,13.25093555,10.66823769,6.82653904,9.302998543,0.52
5-2018,5/30/2018,35.81320953,11.83374786,8.730390549,5.986827374,7.041261196,0.52
6-2018,6/29/2018,35.07756424,11.12212467,8.173779488,6.111230373,6.247519016,0.52
7-2018,7/31/2018,38.79116058,13.33695412,9.485243797,7.137542725,7.570422649,0.54
8-2018,8/31/2018,39.0214119,12.93879414,9.811516762,7.326503754,6.887633324,0.57
9-2018,9/28/2018,43.53339767,13.86644936,10.29746437,7.793798923,7.101004124,0.47
10-2018,10/31/2018,41.27012253,13.11625957,10.00435162,7.985723495,8.77383709,0.54
11-2018,11/30/2018,38.42466736,12.59372044,9.487797737,7.401604652,7.980095387,0.49
12-2018,12/28/2018,37.11473083,12.05677795,9.542370796,7.376572132,7.869141579,0.49
1-2019,1/31/2019,33.11215973,12.73202324,9.900989532,8.511428833,8.43866539,0.54
2-2019,2/28/2019,34.27654266,12.31711578,9.729476929,10.91465664,8.309634209,0.49
3-2019,3/29/2019,37.06379318,12.39961529,9.587703705,13.55987358,8.636514664,0.47
4-2019,4/30/2019,36.4597702,11.58880711,9.131896019,12.68993759,7.481468201,0.52
5-2019,5/31/2019,35.65925217,11.41765499,9.125157356,15.14518929,7.108694553,0.54
6-2019,6/28/2019,37.71147919,12.51249981,9.884267807,15.30085373,7.750210762,0.47
7-2019,7/31/2019,36.24872589,11.31887436,9.354469299,15.1360321,7.595031738,0.57
8-2019,8/30/2019,33.16310883,10.6532774,8.744130135,13.14902782,6.857228279,0.5
9-2019,9/30/2019,34.74957657,10.89332771,8.744130135,12.36992645,6.779108524,0.46
10-2019,10/31/2019,34.34932327,11.11682224,8.871430397,11.03289127,6.301706791,0.48
11-2019,11/29/2019,36.37243652,14.10886097,11.40567875,11.74348354,7.386711121,0.38
12-2019,12/30/2019,39.81636429,16.59865952,13.65648365,13.19271851,8.254714012,0.37
1-2020,1/31/2020,37.55287933,16.6401577,14.59032917,12.06137848,8.358874321,0.38
2-2020,2/28/2020,33.10062408,14.05076694,11.79677582,10.45319557,7.091589451,0.29
3-2020,3/31/2020,32.28636551,8.355633736,7.437966824,6.52623558,4.270578384,0.34
4-2020,4/30/2020,33.51148224,9.760710716,8.597650528,8.3775177,4.205210686,0.28
5-2020,5/29/2020,39.59225845,11.16578579,8.79759407,9.66925621,5.387926579,0.24
6-2020,6/30/2020,41.7735672,13.31081581,10.7570591,10.00655651,6.369142056,0.21
7-2020,7/31/2020,45.35181046,14.50803947,11.78078079,11.47755814,7.12257576,0.19
