"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2022","8.44","8.21","8.50","8.07","19.53M","2.93%"
"08/01/2022","8.20","8.63","8.63","8.17","23.32M","-4.76%"
"07/29/2022","8.61","9.10","9.17","8.57","24.76M","-4.76%"
"07/28/2022","9.04","8.93","9.20","8.92","16.63M","1.80%"
"07/27/2022","8.88","8.81","8.93","8.71","11.59M","1.02%"
"07/26/2022","8.79","9.03","9.04","8.73","10.80M","-2.12%"
"07/25/2022","8.98","9.10","9.12","8.94","10.80M","0.79%"
"07/22/2022","8.91","9.14","9.30","8.89","16.27M","-1.55%"
"07/21/2022","9.05","8.87","9.13","8.85","11.12M","0.67%"
"07/20/2022","8.99","8.67","8.99","8.58","14.89M","2.74%"
"07/19/2022","8.75","8.47","8.80","8.44","17.76M","3.31%"
"07/18/2022","8.47","8.55","8.59","8.35","19.60M","1.07%"
"07/15/2022","8.38","8.07","8.45","7.93","27.58M","4.10%"
"07/14/2022","8.05","8.19","8.21","8.04","18.85M","-3.59%"
"07/13/2022","8.35","8.28","8.50","8.23","15.53M","0.24%"
"07/12/2022","8.33","8.30","8.49","8.21","22.18M","-0.72%"
"07/11/2022","8.39","8.38","8.56","8.28","14.95M","-2.56%"
"07/08/2022","8.61","8.87","9.01","8.61","14.34M","-2.93%"
"07/07/2022","8.87","8.91","9.20","8.86","17.17M","2.31%"
"07/06/2022","8.67","8.60","8.71","8.43","15.81M","1.40%"
"07/05/2022","8.55","8.43","8.62","8.23","20.01M","0.47%"
"07/04/2022","8.51","8.46","8.61","8.37","9.66M","-0.47%"
"07/01/2022","8.55","8.53","8.64","8.33","18.60M","-1.16%"
"06/30/2022","8.65","8.81","8.86","8.59","15.42M","-4.00%"
"06/29/2022","9.01","9.12","9.17","8.88","15.75M","-1.21%"
"06/28/2022","9.12","9.44","9.48","9.04","16.35M","-1.41%"
"06/27/2022","9.25","9.16","9.41","9.02","14.28M","3.12%"
"06/24/2022","8.97","8.83","9.05","8.67","14.15M","2.99%"
"06/23/2022","8.71","9.16","9.23","8.61","25.56M","-3.65%"
"06/22/2022","9.04","8.81","9.17","8.58","19.98M","-0.22%"
"06/21/2022","9.06","9.13","9.22","8.88","17.48M","0.55%"
"06/20/2022","9.01","8.46","9.03","8.42","19.18M","2.74%"
"06/17/2022","8.77","9.09","9.09","8.58","25.75M","-6.00%"
"06/15/2022","9.33","9.48","9.67","9.28","20.11M","-0.43%"
"06/14/2022","9.37","9.70","9.72","9.27","18.80M","-2.60%"
"06/13/2022","9.62","9.72","9.79","9.33","21.01M","-4.85%"
"06/10/2022","10.11","9.90","10.22","9.78","25.51M","-0.10%"
"06/09/2022","10.12","10.54","10.55","10.07","26.75M","-4.80%"
"06/08/2022","10.63","10.89","11.05","10.58","17.18M","-4.32%"
"06/07/2022","11.11","11.28","11.43","11.07","19.58M","-2.71%"
"06/06/2022","11.42","11.72","11.80","11.24","14.27M","-2.14%"
"06/03/2022","11.67","11.85","11.88","11.54","13.18M","-1.52%"
"06/02/2022","11.85","11.40","11.94","11.36","21.62M","5.24%"
"06/01/2022","11.26","10.98","11.35","10.97","12.51M","2.74%"
"05/31/2022","10.96","11.00","11.13","10.90","11.07M","0.09%"
"05/30/2022","10.95","11.40","11.43","10.83","16.33M","-2.84%"
"05/27/2022","11.27","11.49","11.63","11.24","15.03M","-1.40%"
"05/26/2022","11.43","11.64","11.91","11.28","24.92M","-1.64%"
"05/25/2022","11.62","11.42","11.72","11.29","16.00M","1.57%"
"05/24/2022","11.44","11.26","11.48","11.14","17.80M","-0.09%"
"05/23/2022","11.45","11.20","11.50","11.20","14.50M","3.62%"
"05/20/2022","11.05","11.17","11.28","10.96","13.21M","1.28%"
"05/19/2022","10.91","10.33","11.01","10.31","18.46M","5.11%"
"05/18/2022","10.38","10.66","10.76","10.34","13.42M","-3.98%"
"05/17/2022","10.81","11.18","11.29","10.81","16.68M","-1.10%"
"05/16/2022","10.93","10.58","11.05","10.57","14.91M","3.80%"
"05/13/2022","10.53","10.30","10.67","10.30","16.94M","3.44%"
"05/12/2022","10.18","10.18","10.32","9.93","19.00M","-1.74%"
"05/11/2022","10.36","10.27","10.72","10.21","33.13M","3.19%"
"05/10/2022","10.04","10.85","10.87","9.68","61.00M","-6.78%"
"05/09/2022","10.77","10.79","10.95","10.58","12.48M","-1.82%"
"05/06/2022","10.97","11.01","11.15","10.70","12.09M","-1.08%"
"05/05/2022","11.09","11.49","11.51","10.86","13.81M","-3.65%"
"05/04/2022","11.51","11.26","11.57","11.01","13.76M","1.77%"
"05/03/2022","11.31","11.16","11.47","11.15","10.85M","0.98%"
